야	ᄋ ᅣ
살찐	ᄉ ᅡ ᆯ ᄍ ᅵ ᆫ
병식이	ᄇ ᅧ ᆼ ᄉ ᅵ ᄀ ᅵ
웹드	ᄋ ᅰ ᆸ ᄄ ᅳ
물어다	ᄆ ᅮ ᄅ ᅥ ᄃ ᅡ
웹드라마라니	ᄋ ᅰ ᆸ ᄄ ᅳ ᄅ ᅡ ᄆ ᅡ ᄅ ᅡ ᄂ ᅵ
멋있지	ᄆ ᅥ ᄉ ᅵ ᆮ ᄍ ᅵ
전세라도	ᄌ ᅥ ᆫ ᄉ ᅦ ᄅ ᅡ ᄃ ᅩ
월세만	ᄋ ᅯ ᆯ ᄉ ᅦ ᄆ ᅡ ᆫ
년째야	ᄂ ᅧ ᆫ ᄍ ᅢ ᄋ ᅣ
어림도	ᄋ ᅥ ᄅ ᅵ ᆷ ᄃ ᅩ
형식이는	ᄒ ᅧ ᆼ ᄉ ᅵ ᄀ ᅵ ᄂ ᅳ ᆫ
해주시더라	ᄒ ᅢ ᄌ ᅮ ᄉ ᅵ ᄃ ᅥ ᄅ ᅡ
가지려면	ᄀ ᅡ ᄌ ᅵ ᄅ ᅧ ᄆ ᅧ ᆫ
태어나야	ᄐ ᅢ ᄋ ᅥ ᄂ ᅡ ᄋ ᅣ
바다나	ᄇ ᅡ ᄃ ᅡ ᄂ ᅡ
앞둔	ᄋ ᅡ ᆸ ᄄ ᅮ ᆫ
혼성	ᄒ ᅩ ᆫ ᄉ ᅥ ᆼ
여친님의	ᄋ ᅧ ᄎ ᅵ ᆫ ᄂ ᅵ ᄆ ᅴ
말씀이다	ᄆ ᅡ ᆯ ᄊ ᅳ ᄆ ᅵ ᄃ ᅡ
여친님이	ᄋ ᅧ ᄎ ᅵ ᆫ ᄂ ᅵ ᄆ ᅵ
말씀하셨다	ᄆ ᅡ ᆯ ᄊ ᅳ ᆷ ᄒ ᅡ ᄉ ᅧ ᆮ ᄄ ᅡ
혼성이냐	ᄒ ᅩ ᆫ ᄉ ᅥ ᆼ ᄋ ᅵ ᄂ ᅣ
외부인이	ᄋ ᅬ ᄇ ᅮ ᄋ ᅵ ᄂ ᅵ
혼성은	ᄒ ᅩ ᆫ ᄉ ᅥ ᆼ ᄋ ᅳ ᆫ
혼성이지	ᄒ ᅩ ᆫ ᄉ ᅥ ᆼ ᄋ ᅵ ᄌ ᅵ
부모님한테도	ᄇ ᅮ ᄆ ᅩ ᄂ ᅵ ᆷ ᄒ ᅡ ᆫ ᄐ ᅦ ᄃ ᅩ
먼제	ᄆ ᅥ ᆫ ᄌ ᅦ
결혼하겠네	ᄀ ᅧ ᆯ ᄒ ᅩ ᆫ ᄒ ᅡ ᄀ ᅦ ᆫ ᄂ ᅦ
붙고	ᄇ ᅮ ᆮ ᄁ ᅩ
트루러브네	ᄐ ᅳ ᄅ ᅮ ᄅ ᅥ ᄇ ᅳ ᄂ ᅦ
여친이랑도	ᄋ ᅧ ᄎ ᅵ ᄂ ᅵ ᄅ ᅡ ᆼ ᄃ ᅩ
끝사랑인	ᄁ ᅳ ᆮ ᄊ ᅡ ᄅ ᅡ ᆼ ᄋ ᅵ ᆫ
언제하고	ᄋ ᅥ ᆫ ᄌ ᅦ ᄒ ᅡ ᄀ ᅩ
싫다야	ᄉ ᅵ ᆯ ᄐ ᅡ ᄋ ᅣ
닥터까지	ᄃ ᅡ ᆨ ᄐ ᅥ ᄁ ᅡ ᄌ ᅵ
포닥	ᄑ ᅩ ᄃ ᅡ ᆨ
박사를	ᄇ ᅡ ᆨ ᄊ ᅡ ᄅ ᅳ ᆯ
끌어오는	ᄁ ᅳ ᄅ ᅥ ᄋ ᅩ ᄂ ᅳ ᆫ
돈이라도	ᄃ ᅩ ᄂ ᅵ ᄅ ᅡ ᄃ ᅩ
박사님	ᄇ ᅡ ᆨ ᄊ ᅡ ᄂ ᅵ ᆷ
벌겠지	ᄇ ᅥ ᆯ ᄀ ᅦ ᆮ ᄍ ᅵ
박사	ᄇ ᅡ ᆨ ᄊ ᅡ
인구가	ᄋ ᅵ ᆫ ᄀ ᅮ ᄀ ᅡ
박사들	ᄇ ᅡ ᆨ ᄊ ᅡ ᄃ ᅳ ᆯ
가희	ᄀ ᅡ ᄒ ᅵ
둘한테	ᄃ ᅮ ᆯ ᄒ ᅡ ᆫ ᄐ ᅦ
상윤이	ᄉ ᅡ ᆼ ᄋ ᅲ ᄂ ᅵ
벌써는	ᄇ ᅥ ᆯ ᄊ ᅥ ᄂ ᅳ ᆫ
만났잖냐	ᄆ ᅡ ᆫ ᄂ ᅡ ᆮ ᄍ ᅡ ᆫ ᄂ ᅣ
비워놔	ᄇ ᅵ ᄋ ᅯ ᄂ ᅪ
회수	ᄒ ᅬ ᄉ ᅮ
상윤이랑	ᄉ ᅡ ᆼ ᄋ ᅲ ᄂ ᅵ ᄅ ᅡ ᆼ
너랑도	ᄂ ᅥ ᄅ ᅡ ᆼ ᄃ ᅩ
꺼까지	ᄁ ᅥ ᄁ ᅡ ᄌ ᅵ
내줘라	ᄂ ᅢ ᄌ ᅯ ᄅ ᅡ
맡겨놨냐	ᄆ ᅡ ᆮ ᄁ ᅧ ᄂ ᅪ ᆫ ᄂ ᅣ
쪘어	ᄍ ᅥ ᄊ ᅥ
축구나	ᄎ ᅮ ᆨ ᄁ ᅮ ᄂ ᅡ
사촌들끼리	ᄉ ᅡ ᄎ ᅩ ᆫ ᄃ ᅳ ᆯ ᄁ ᅵ ᄅ ᅵ
회비는	ᄒ ᅬ ᄇ ᅵ ᄂ ᅳ ᆫ
뒤풀이	ᄃ ᅱ ᄑ ᅮ ᄅ ᅵ
축구회가	ᄎ ᅮ ᆨ ᄁ ᅮ ᄒ ᅬ ᄀ ᅡ
찌겠는데	ᄍ ᅵ ᄀ ᅦ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
돼지보다는	ᄃ ᅫ ᄌ ᅵ ᄇ ᅩ ᄃ ᅡ ᄂ ᅳ ᆫ
근육돼지가	ᄀ ᅳ ᄂ ᅲ ᆨ ᄄ ᅫ ᄌ ᅵ ᄀ ᅡ
동긴데	ᄃ ᅩ ᆼ ᄀ ᅵ ᆫ ᄃ ᅦ
간호사면	ᄀ ᅡ ᆫ ᄒ ᅩ ᄉ ᅡ ᄆ ᅧ ᆫ
상관이냐	ᄉ ᅡ ᆼ ᄀ ᅪ ᄂ ᅵ ᄂ ᅣ
만나봐	ᄆ ᅡ ᆫ ᄂ ᅡ ᄇ ᅪ
귀엽다는데	ᄀ ᅱ ᄋ ᅧ ᆸ ᄄ ᅡ ᄂ ᅳ ᆫ ᄃ ᅦ
질리고	ᄌ ᅵ ᆯ ᄅ ᅵ ᄀ ᅩ
물불	ᄆ ᅮ ᆯ ᄇ ᅮ ᆯ
가릴	ᄀ ᅡ ᄅ ᅵ ᆯ
때냐	ᄄ ᅢ ᄂ ᅣ
오라더라	ᄋ ᅩ ᄅ ᅡ ᄃ ᅥ ᄅ ᅡ
외로운가	ᄋ ᅬ ᄅ ᅩ ᄋ ᅮ ᆫ ᄀ ᅡ
상하나	ᄉ ᅡ ᆼ ᄒ ᅡ ᄂ ᅡ
벌거든	ᄇ ᅥ ᆯ ᄀ ᅥ ᄃ ᅳ ᆫ
형수가	ᄒ ᅧ ᆼ ᄉ ᅮ ᄀ ᅡ
달라붙어야지	ᄃ ᅡ ᆯ ᄅ ᅡ ᄇ ᅮ ᄐ ᅥ ᄋ ᅣ ᄌ ᅵ
육아랑	ᄋ ᅲ ᄀ ᅡ ᄅ ᅡ ᆼ
전념할	ᄌ ᅥ ᆫ ᄂ ᅧ ᆷ ᄒ ᅡ ᆯ
형수랑	ᄒ ᅧ ᆼ ᄉ ᅮ ᄅ ᅡ ᆼ
결혼하려고	ᄀ ᅧ ᆯ ᄒ ᅩ ᆫ ᄒ ᅡ ᄅ ᅧ ᄀ ᅩ
이었으면	ᄋ ᅵ ᄋ ᅥ ᄊ ᅳ ᄆ ᅧ ᆫ
일어났을	ᄋ ᅵ ᄅ ᅥ ᄂ ᅡ ᄊ ᅳ ᆯ
유나가	ᄋ ᅲ ᄂ ᅡ ᄀ ᅡ
행복이구나	ᄒ ᅢ ᆼ ᄇ ᅩ ᄀ ᅵ ᄀ ᅮ ᄂ ᅡ
뿌러지고	ᄈ ᅮ ᄅ ᅥ ᄌ ᅵ ᄀ ᅩ
출퇴근도	ᄎ ᅮ ᆯ ᄐ ᅬ ᄀ ᅳ ᆫ ᄃ ᅩ
모아야지	ᄆ ᅩ ᄋ ᅡ ᄋ ᅣ ᄌ ᅵ
년인데	ᄂ ᅧ ᄂ ᅵ ᆫ ᄃ ᅦ
날려먹은	ᄂ ᅡ ᆯ ᄅ ᅧ ᄆ ᅥ ᄀ ᅳ ᆫ
몰디브는	ᄆ ᅩ ᆯ ᄃ ᅵ ᄇ ᅳ ᄂ ᅳ ᆫ
모히	ᄆ ᅩ ᄒ ᅵ
헷갈린다	ᄒ ᅦ ᆮ ᄁ ᅡ ᆯ ᄅ ᅵ ᆫ ᄃ ᅡ
몰디브	ᄆ ᅩ ᆯ ᄃ ᅵ ᄇ ᅳ
와놓고도	ᄋ ᅪ ᄂ ᅩ ᄏ ᅩ ᄃ ᅩ
헷갈리냐	ᄒ ᅦ ᆮ ᄁ ᅡ ᆯ ᄅ ᅵ ᄂ ᅣ
정신없어서	ᄌ ᅥ ᆼ ᄉ ᅵ ᄂ ᅥ ᆸ ᄊ ᅥ ᄉ ᅥ
결혼식이	ᄀ ᅧ ᆯ ᄒ ᅩ ᆫ ᄉ ᅵ ᄀ ᅵ
끝났는지도	ᄁ ᅳ ᆫ ᄂ ᅡ ᆫ ᄂ ᅳ ᆫ ᄌ ᅵ ᄃ ᅩ
진성이가	ᄌ ᅵ ᆫ ᄉ ᅥ ᆼ ᄋ ᅵ ᄀ ᅡ
유부남	ᄋ ᅲ ᄇ ᅮ ᄂ ᅡ ᆷ
알았겠냐	ᄋ ᅡ ᄅ ᅡ ᆮ ᄁ ᅦ ᆫ ᄂ ᅣ
지지리도	ᄌ ᅵ ᄌ ᅵ ᄅ ᅵ ᄃ ᅩ
제수씨는	ᄌ ᅦ ᄉ ᅮ ᄊ ᅵ ᄂ ᅳ ᆫ
계시냐	ᄀ ᅨ ᄉ ᅵ ᄂ ᅣ
형수지	ᄒ ᅧ ᆼ ᄉ ᅮ ᄌ ᅵ
제수씨지	ᄌ ᅦ ᄉ ᅮ ᄊ ᅵ ᄌ ᅵ
행복하냐	ᄒ ᅢ ᆼ ᄇ ᅩ ᄏ ᅡ ᄂ ᅣ
행복은	ᄒ ᅢ ᆼ ᄇ ᅩ ᄀ ᅳ ᆫ
싸줘서	ᄊ ᅡ ᄌ ᅯ ᄉ ᅥ
쪼개지	ᄍ ᅩ ᄀ ᅢ ᄌ ᅵ
만든다고	ᄆ ᅡ ᆫ ᄃ ᅳ ᆫ ᄃ ᅡ ᄀ ᅩ
꺾을	ᄁ ᅥ ᄁ ᅳ ᆯ
양육권	ᄋ ᅣ ᆼ ᄋ ᅲ ᆨ ᄁ ᅯ ᆫ
요청하고	ᄋ ᅭ ᄎ ᅥ ᆼ ᄒ ᅡ ᄀ ᅩ
싶으시다구요	ᄉ ᅵ ᄑ ᅳ ᄉ ᅵ ᄃ ᅡ ᄀ ᅮ ᄋ ᅭ
양육권을	ᄋ ᅣ ᆼ ᄋ ᅲ ᆨ ᄁ ᅯ ᄂ ᅳ ᆯ
가져갔는데	ᄀ ᅡ ᄌ ᅥ ᄀ ᅡ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
나아지셨나요	ᄂ ᅡ ᄋ ᅡ ᄌ ᅵ ᄉ ᅧ ᆫ ᄂ ᅡ ᄋ ᅭ
당숙께서	ᄃ ᅡ ᆼ ᄉ ᅮ ᆨ ᄁ ᅦ ᄉ ᅥ
갚았고	ᄀ ᅡ ᄑ ᅡ ᆮ ᄁ ᅩ
끊었습니다	ᄁ ᅳ ᄂ ᅥ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
많으셨겠습니다	ᄆ ᅡ ᄂ ᅳ ᄉ ᅧ ᆮ ᄁ ᅦ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
아내분께서는	ᄋ ᅡ ᄂ ᅢ ᄇ ᅮ ᆫ ᄁ ᅦ ᄉ ᅥ ᄂ ᅳ ᆫ
있으실까요	ᄋ ᅵ ᄊ ᅳ ᄉ ᅵ ᆯ ᄁ ᅡ ᄋ ᅭ
드러워요	ᄃ ᅳ ᄅ ᅥ ᄋ ᅯ ᄋ ᅭ
아이에게도	ᄋ ᅡ ᄋ ᅵ ᄋ ᅦ ᄀ ᅦ ᄃ ᅩ
재인이한테	ᄌ ᅢ ᄋ ᅵ ᄂ ᅵ ᄒ ᅡ ᆫ ᄐ ᅦ
데려왔죠	ᄃ ᅦ ᄅ ᅧ ᄋ ᅪ ᆮ ᄍ ᅭ
자녀에게	ᄌ ᅡ ᄂ ᅧ ᄋ ᅦ ᄀ ᅦ
끼치고	ᄁ ᅵ ᄎ ᅵ ᄀ ᅩ
뚜렷한	ᄄ ᅮ ᄅ ᅧ ᄐ ᅡ ᆫ
청구	ᄎ ᅥ ᆼ ᄀ ᅮ
이유만으로는	ᄋ ᅵ ᄋ ᅲ ᄆ ᅡ ᄂ ᅳ ᄅ ᅩ ᄂ ᅳ ᆫ
변경은	ᄇ ᅧ ᆫ ᄀ ᅧ ᆼ ᄋ ᅳ ᆫ
아이의	ᄋ ᅡ ᄋ ᅵ ᄋ ᅴ
지양되는	ᄌ ᅵ ᄋ ᅣ ᆼ ᄃ ᅬ ᄂ ᅳ ᆫ
부분이기	ᄇ ᅮ ᄇ ᅮ ᄂ ᅵ ᄀ ᅵ
바람만으로는	ᄇ ᅡ ᄅ ᅡ ᆷ ᄆ ᅡ ᄂ ᅳ ᄅ ᅩ ᄂ ᅳ ᆫ
승소를	ᄉ ᅳ ᆼ ᄉ ᅩ ᄅ ᅳ ᆯ
보장할	ᄇ ᅩ ᄌ ᅡ ᆼ ᄒ ᅡ ᆯ
아이와의	ᄋ ᅡ ᄋ ᅵ ᄋ ᅪ ᄋ ᅴ
좋으신가요	ᄌ ᅩ ᄋ ᅳ ᄉ ᅵ ᆫ ᄀ ᅡ ᄋ ᅭ
청바지	ᄎ ᅥ ᆼ ᄇ ᅡ ᄌ ᅵ
정장만	ᄌ ᅥ ᆼ ᄌ ᅡ ᆼ ᄆ ᅡ ᆫ
입었더니	ᄋ ᅵ ᄇ ᅥ ᆮ ᄄ ᅥ ᄂ ᅵ
청바지가	ᄎ ᅥ ᆼ ᄇ ᅡ ᄌ ᅵ ᄀ ᅡ
수북한	ᄉ ᅮ ᄇ ᅮ ᄏ ᅡ ᆫ
다리털이	ᄃ ᅡ ᄅ ᅵ ᄐ ᅥ ᄅ ᅵ
구멍으로	ᄀ ᅮ ᄆ ᅥ ᆼ ᄋ ᅳ ᄅ ᅩ
삐져나온다고	ᄈ ᅵ ᄌ ᅥ ᄂ ᅡ ᄋ ᅩ ᆫ ᄃ ᅡ ᄀ ᅩ
다리털	ᄃ ᅡ ᄅ ᅵ ᄐ ᅥ ᆯ
길가다	ᄀ ᅵ ᆯ ᄁ ᅡ ᄃ ᅡ
안구	ᄋ ᅡ ᆫ ᄀ ᅮ
테러	ᄐ ᅦ ᄅ ᅥ
보이려다가	ᄇ ᅩ ᄋ ᅵ ᄅ ᅧ ᄃ ᅡ ᄀ ᅡ
살려준	ᄉ ᅡ ᆯ ᄅ ᅧ ᄌ ᅮ ᆫ
사회적	ᄉ ᅡ ᄒ ᅬ ᄌ ᅥ ᆨ
실추와	ᄉ ᅵ ᆯ ᄎ ᅮ ᄋ ᅪ
막아준	ᄆ ᅡ ᄀ ᅡ ᄌ ᅮ ᆫ
살아가지고	ᄉ ᅡ ᄅ ᅡ ᄀ ᅡ ᄌ ᅵ ᄀ ᅩ
끔찍하고	ᄁ ᅳ ᆷ ᄍ ᅵ ᄏ ᅡ ᄀ ᅩ
토나온다	ᄐ ᅩ ᄂ ᅡ ᄋ ᅩ ᆫ ᄃ ᅡ
뽑았다	ᄈ ᅩ ᄇ ᅡ ᆮ ᄄ ᅡ
와우	ᄋ ᅪ ᄋ ᅮ
죽이는데	ᄌ ᅮ ᄀ ᅵ ᄂ ᅳ ᆫ ᄃ ᅦ
외제차가	ᄋ ᅬ ᄌ ᅦ ᄎ ᅡ ᄀ ᅡ
독삼이냐	ᄃ ᅩ ᆨ ᄊ ᅡ ᄆ ᅵ ᄂ ᅣ
하차감이	ᄒ ᅡ ᄎ ᅡ ᄀ ᅡ ᄆ ᅵ
승차감이	ᄉ ᅳ ᆼ ᄎ ᅡ ᄀ ᅡ ᄆ ᅵ
하차감은	ᄒ ᅡ ᄎ ᅡ ᄀ ᅡ ᄆ ᅳ ᆫ
하차감이지	ᄒ ᅡ ᄎ ᅡ ᄀ ᅡ ᄆ ᅵ ᄌ ᅵ
뭐겠니	ᄆ ᅯ ᄀ ᅦ ᆫ ᄂ ᅵ
독삼으로	ᄃ ᅩ ᆨ ᄊ ᅡ ᄆ ᅳ ᄅ ᅩ
갈아타자	ᄀ ᅡ ᄅ ᅡ ᄐ ᅡ ᄌ ᅡ
예지	ᄋ ᅨ ᄌ ᅵ
해주겠냐	ᄒ ᅢ ᄌ ᅮ ᄀ ᅦ ᆫ ᄂ ᅣ
솔로나	ᄉ ᅩ ᆯ ᄅ ᅩ ᄂ ᅡ
바꿔도	ᄇ ᅡ ᄁ ᅯ ᄃ ᅩ
에스유브이가	ᄋ ᅦ ᄉ ᅳ ᄋ ᅲ ᄇ ᅳ ᄋ ᅵ ᄀ ᅡ
혼나자	ᄒ ᅩ ᆫ ᄂ ᅡ ᄌ ᅡ
씨씨냐	ᄊ ᅵ ᄊ ᅵ ᄂ ᅣ
이천인데	ᄋ ᅵ ᄎ ᅥ ᄂ ᅵ ᆫ ᄃ ᅦ
씨씨는	ᄊ ᅵ ᄊ ᅵ ᄂ ᅳ ᆫ
옆에는	ᄋ ᅧ ᄑ ᅦ ᄂ ᅳ ᆫ
몰아보자	ᄆ ᅩ ᄅ ᅡ ᄇ ᅩ ᄌ ᅡ
때려주니까	ᄄ ᅢ ᄅ ᅧ ᄌ ᅮ ᄂ ᅵ ᄁ ᅡ
이기긴	ᄋ ᅵ ᄀ ᅵ ᄀ ᅵ ᆫ
이기잖아요	ᄋ ᅵ ᄀ ᅵ ᄌ ᅡ ᄂ ᅡ ᄋ ᅭ
꿀잼	ᄁ ᅮ ᆯ ᄌ ᅢ ᆷ
경기긴	ᄀ ᅧ ᆼ ᄀ ᅵ ᄀ ᅵ ᆫ
구회	ᄀ ᅮ ᄒ ᅬ
투런	ᄐ ᅮ ᄅ ᅥ ᆫ
홈런	ᄒ ᅩ ᆷ ᄂ ᅥ ᆫ
맞았을	ᄆ ᅡ ᄌ ᅡ ᄊ ᅳ ᆯ
역전해버리네요	ᄋ ᅧ ᆨ ᄍ ᅥ ᆫ ᄒ ᅢ ᄇ ᅥ ᄅ ᅵ ᄂ ᅦ ᄋ ᅭ
경기였어요	ᄀ ᅧ ᆼ ᄀ ᅵ ᄋ ᅧ ᄊ ᅥ ᄋ ᅭ
재완	ᄌ ᅢ ᄋ ᅪ ᆫ
오셨네	ᄋ ᅩ ᄉ ᅧ ᆫ ᄂ ᅦ
가시죠	ᄀ ᅡ ᄉ ᅵ ᄌ ᅭ
김우현이	ᄀ ᅵ ᄆ ᅮ ᄒ ᅧ ᄂ ᅵ
성공했네	ᄉ ᅥ ᆼ ᄀ ᅩ ᆼ ᄒ ᅢ ᆫ ᄂ ᅦ
성공이냐	ᄉ ᅥ ᆼ ᄀ ᅩ ᆼ ᄋ ᅵ ᄂ ᅣ
집다운	ᄌ ᅵ ᆸ ᄄ ᅡ ᄋ ᅮ ᆫ
같던	ᄀ ᅡ ᆮ ᄄ ᅥ ᆫ
하숙방	ᄒ ᅡ ᄉ ᅮ ᆨ ᄈ ᅡ ᆼ
뿌듯하긴	ᄈ ᅮ ᄃ ᅳ ᄐ ᅡ ᄀ ᅵ ᆫ
신혼집이겠는데	ᄉ ᅵ ᆫ ᄒ ᅩ ᆫ ᄌ ᅵ ᄇ ᅵ ᄀ ᅦ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
선이라도	ᄉ ᅥ ᄂ ᅵ ᄅ ᅡ ᄃ ᅩ
잊어서	ᄋ ᅵ ᄌ ᅥ ᄉ ᅥ
자연스럽지가	ᄌ ᅡ ᄋ ᅧ ᆫ ᄉ ᅳ ᄅ ᅥ ᆸ ᄍ ᅵ ᄀ ᅡ
잘만	ᄌ ᅡ ᆯ ᄆ ᅡ ᆫ
살더라	ᄉ ᅡ ᆯ ᄃ ᅥ ᄅ ᅡ
만남	ᄆ ᅡ ᆫ ᄂ ᅡ ᆷ
먹어줘야지	ᄆ ᅥ ᄀ ᅥ ᄌ ᅯ ᄋ ᅣ ᄌ ᅵ
소주나	ᄉ ᅩ ᄌ ᅮ ᄂ ᅡ
소주만	ᄉ ᅩ ᄌ ᅮ ᄆ ᅡ ᆫ
말아먹자	ᄆ ᅡ ᄅ ᅡ ᄆ ᅥ ᆨ ᄍ ᅡ
물량을	ᄆ ᅮ ᆯ ᄅ ᅣ ᆼ ᄋ ᅳ ᆯ
요청하셔서	ᄋ ᅭ ᄎ ᅥ ᆼ ᄒ ᅡ ᄉ ᅧ ᄉ ᅥ
잘못이란	ᄌ ᅡ ᆯ ᄆ ᅩ ᄉ ᅵ ᄅ ᅡ ᆫ
얘기예요	ᄋ ᅤ ᄀ ᅵ ᄋ ᅨ ᄋ ᅭ
빼드려요	ᄈ ᅢ ᄃ ᅳ ᄅ ᅧ ᄋ ᅭ
아니었습니다	ᄋ ᅡ ᄂ ᅵ ᄋ ᅥ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
들어오시라고	ᄃ ᅳ ᄅ ᅥ ᄋ ᅩ ᄉ ᅵ ᄅ ᅡ ᄀ ᅩ
과장님만	ᄀ ᅪ ᄌ ᅡ ᆼ ᄂ ᅵ ᆷ ᄆ ᅡ ᆫ
출근도	ᄎ ᅮ ᆯ ᄀ ᅳ ᆫ ᄃ ᅩ
못하셨거든요	ᄆ ᅩ ᄐ ᅡ ᄉ ᅧ ᆮ ᄁ ᅥ ᄃ ᅳ ᄂ ᅭ
품질관리는	ᄑ ᅮ ᆷ ᄌ ᅵ ᆯ ᄀ ᅪ ᆯ ᄅ ᅵ ᄂ ᅳ ᆫ
사정만	ᄉ ᅡ ᄌ ᅥ ᆼ ᄆ ᅡ ᆫ
얘기하시면	ᄋ ᅤ ᄀ ᅵ ᄒ ᅡ ᄉ ᅵ ᄆ ᅧ ᆫ
고객한테	ᄀ ᅩ ᄀ ᅢ ᄏ ᅡ ᆫ ᄐ ᅦ
욕먹고	ᄋ ᅭ ᆼ ᄆ ᅥ ᆨ ᄁ ᅩ
깎이는	ᄁ ᅡ ᄁ ᅵ ᄂ ᅳ ᆫ
저희에요	ᄌ ᅥ ᄒ ᅵ ᄋ ᅦ ᄋ ᅭ
반품	ᄇ ᅡ ᆫ ᄑ ᅮ ᆷ
처리해드리고	ᄎ ᅥ ᄅ ᅵ ᄒ ᅢ ᄃ ᅳ ᄅ ᅵ ᄀ ᅩ
차후에는	ᄎ ᅡ ᄒ ᅮ ᄋ ᅦ ᄂ ᅳ ᆫ
관리에	ᄀ ᅪ ᆯ ᄅ ᅵ ᄋ ᅦ
만전을	ᄆ ᅡ ᆫ ᄌ ᅥ ᄂ ᅳ ᆯ
기하겠습니다	ᄀ ᅵ ᄒ ᅡ ᄀ ᅦ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
거래하기	ᄀ ᅥ ᄅ ᅢ ᄒ ᅡ ᄀ ᅵ
믿어볼게요	ᄆ ᅵ ᄃ ᅥ ᄇ ᅩ ᆯ ᄀ ᅦ ᄋ ᅭ
이후에는	ᄋ ᅵ ᄒ ᅮ ᄋ ᅦ ᄂ ᅳ ᆫ
초저녁부터	ᄎ ᅩ ᄌ ᅥ ᄂ ᅧ ᆨ ᄈ ᅮ ᄐ ᅥ
잠들었거든요	ᄌ ᅡ ᆷ ᄃ ᅳ ᄅ ᅥ ᆮ ᄁ ᅥ ᄃ ᅳ ᄂ ᅭ
환청이라도	ᄒ ᅪ ᆫ ᄎ ᅥ ᆼ ᄋ ᅵ ᄅ ᅡ ᄃ ᅩ
들었다는	ᄃ ᅳ ᄅ ᅥ ᆮ ᄄ ᅡ ᄂ ᅳ ᆫ
거짓말이라뇨	ᄀ ᅥ ᄌ ᅵ ᆫ ᄆ ᅡ ᄅ ᅵ ᄅ ᅡ ᄂ ᅭ
해달라고요	ᄒ ᅢ ᄃ ᅡ ᆯ ᄅ ᅡ ᄀ ᅩ ᄋ ᅭ
억지를	ᄋ ᅥ ᆨ ᄍ ᅵ ᄅ ᅳ ᆯ
부리네	ᄇ ᅮ ᄅ ᅵ ᄂ ᅦ
안하무인이네	ᄋ ᅡ ᆫ ᄒ ᅡ ᄆ ᅮ ᄋ ᅵ ᄂ ᅵ ᄂ ᅦ
안하무인이	ᄋ ᅡ ᆫ ᄒ ᅡ ᄆ ᅮ ᄋ ᅵ ᄂ ᅵ
삿대질이야	ᄉ ᅡ ᆮ ᄄ ᅢ ᄌ ᅵ ᄅ ᅵ ᄋ ᅣ
윗	ᄋ ᅱ ᆮ
실화야	ᄉ ᅵ ᆯ ᄒ ᅪ ᄋ ᅣ
마성의	ᄆ ᅡ ᄉ ᅥ ᆼ ᄋ ᅴ
파탄	ᄑ ᅡ ᄐ ᅡ ᆫ
옴므파탈이네	ᄋ ᅩ ᆷ ᄆ ᅳ ᄑ ᅡ ᄐ ᅡ ᄅ ᅵ ᄂ ᅦ
용하긴	ᄋ ᅭ ᆼ ᄒ ᅡ ᄀ ᅵ ᆫ
지우랑	ᄌ ᅵ ᄋ ᅮ ᄅ ᅡ ᆼ
현진이가	ᄒ ᅧ ᆫ ᄌ ᅵ ᄂ ᅵ ᄀ ᅡ
지우가	ᄌ ᅵ ᄋ ᅮ ᄀ ᅡ
현진이네	ᄒ ᅧ ᆫ ᄌ ᅵ ᄂ ᅵ ᄂ ᅦ
있더래	ᄋ ᅵ ᆮ ᄄ ᅥ ᄅ ᅢ
샤워가운이며	ᄉ ᅣ ᄋ ᅯ ᄀ ᅡ ᄋ ᅮ ᄂ ᅵ ᄆ ᅧ
스피커며	ᄉ ᅳ ᄑ ᅵ ᄏ ᅥ ᄆ ᅧ
샀겠지	ᄉ ᅡ ᆮ ᄁ ᅦ ᆮ ᄍ ᅵ
현진이	ᄒ ᅧ ᆫ ᄌ ᅵ ᄂ ᅵ
고백한다고	ᄀ ᅩ ᄇ ᅢ ᄏ ᅡ ᆫ ᄃ ᅡ ᄀ ᅩ
경수랑	ᄀ ᅧ ᆼ ᄉ ᅮ ᄅ ᅡ ᆼ
밝혀버린	ᄇ ᅡ ᆯ ᄏ ᅧ ᄇ ᅥ ᄅ ᅵ ᆫ
났었겠네	ᄂ ᅡ ᄊ ᅥ ᆮ ᄁ ᅦ ᆫ ᄂ ᅦ
대박이구나	ᄃ ᅢ ᄇ ᅡ ᄀ ᅵ ᄀ ᅮ ᄂ ᅡ
정연이까지	ᄌ ᅥ ᆼ ᄋ ᅧ ᄂ ᅵ ᄁ ᅡ ᄌ ᅵ
셋이었던	ᄉ ᅦ ᄉ ᅵ ᄋ ᅥ ᆮ ᄄ ᅥ ᆫ
정연이랑	ᄌ ᅥ ᆼ ᄋ ᅧ ᄂ ᅵ ᄅ ᅡ ᆼ
