씨	ᄊ ᅵ
확신을	ᄒ ᅪ ᆨ ᄊ ᅵ ᄂ ᅳ ᆯ
가졌던	ᄀ ᅡ ᄌ ᅥ ᆮ ᄄ ᅥ ᆫ
퀄럭은	ᄏ ᅯ ᆯ ᄅ ᅥ ᄀ ᅳ ᆫ
설득해	ᄉ ᅥ ᆯ ᄃ ᅳ ᄏ ᅢ
냈	ᄂ ᅢ ᆮ
뻣뻣한	ᄈ ᅥ ᆮ ᄈ ᅥ ᄐ ᅡ ᆫ
느낌	ᄂ ᅳ ᄁ ᅵ ᆷ
불통	ᄇ ᅮ ᆯ ᄐ ᅩ ᆼ
케블라는	ᄏ ᅦ ᄇ ᅳ ᆯ ᄅ ᅡ ᄂ ᅳ ᆫ
튼튼하다	ᄐ ᅳ ᆫ ᄐ ᅳ ᆫ ᄒ ᅡ ᄃ ᅡ
밀리미	ᄆ ᅵ ᆯ ᄅ ᅵ ᄆ ᅵ
가느다란	ᄀ ᅡ ᄂ ᅳ ᄃ ᅡ ᄅ ᅡ ᆫ
실이지만	ᄉ ᅵ ᄅ ᅵ ᄌ ᅵ ᄆ ᅡ ᆫ
톤의	ᄐ ᅩ ᄂ ᅴ
자동차를	ᄌ ᅡ ᄃ ᅩ ᆼ ᄎ ᅡ ᄅ ᅳ ᆯ
현재까지	ᄒ ᅧ ᆫ ᄌ ᅢ ᄁ ᅡ ᄌ ᅵ
인정받는다	ᄋ ᅵ ᆫ ᄌ ᅥ ᆼ ᄇ ᅡ ᆫ ᄂ ᅳ ᆫ ᄃ ᅡ
금속보다	ᄀ ᅳ ᆷ ᄉ ᅩ ᆨ ᄈ ᅩ ᄃ ᅡ
가볍다는	ᄀ ᅡ ᄇ ᅧ ᆸ ᄄ ᅡ ᄂ ᅳ ᆫ
점도	ᄌ ᅥ ᆷ ᄃ ᅩ
장점	ᄌ ᅡ ᆼ ᄌ ᅥ ᆷ
케블라로	ᄏ ᅦ ᄇ ᅳ ᆯ ᄅ ᅡ ᄅ ᅩ
손으로	ᄉ ᅩ ᄂ ᅳ ᄅ ᅩ
만져보면	ᄆ ᅡ ᆫ ᄌ ᅥ ᄇ ᅩ ᄆ ᅧ ᆫ
쌀집에서	ᄊ ᅡ ᆯ ᄌ ᅵ ᄇ ᅦ ᄉ ᅥ
비닐	ᄇ ᅵ ᄂ ᅵ ᆯ
부대	ᄇ ᅮ ᄃ ᅢ
자루처럼	ᄌ ᅡ ᄅ ᅮ ᄎ ᅥ ᄅ ᅥ ᆷ
거칠고	ᄀ ᅥ ᄎ ᅵ ᆯ ᄀ ᅩ
겹	ᄀ ᅧ ᆸ
겹치면	ᄀ ᅧ ᆸ ᄎ ᅵ ᄆ ᅧ ᆫ
질긴	ᄌ ᅵ ᆯ ᄀ ᅵ ᆫ
총알이	ᄎ ᅩ ᆼ ᄋ ᅡ ᄅ ᅵ
걸려들면서	ᄀ ᅥ ᆯ ᄅ ᅧ ᄃ ᅳ ᆯ ᄆ ᅧ ᆫ ᄉ ᅥ
뚫지	ᄄ ᅮ ᆯ ᄎ ᅵ
케블러	ᄏ ᅦ ᄇ ᅳ ᆯ ᄅ ᅥ
방탄복의	ᄇ ᅡ ᆼ ᄐ ᅡ ᆫ ᄇ ᅩ ᄀ ᅴ
단점은	ᄃ ᅡ ᆫ ᄌ ᅥ ᄆ ᅳ ᆫ
바깥으로	ᄇ ᅡ ᄁ ᅡ ᄐ ᅳ ᄅ ᅩ
발산하지	ᄇ ᅡ ᆯ ᄉ ᅡ ᆫ ᄒ ᅡ ᄌ ᅵ
착용자들이	ᄎ ᅡ ᄀ ᅭ ᆼ ᄌ ᅡ ᄃ ᅳ ᄅ ᅵ
땀투성이가	ᄄ ᅡ ᆷ ᄐ ᅮ ᄉ ᅥ ᆼ ᄋ ᅵ ᄀ ᅡ
과학자의	ᄀ ᅪ ᄒ ᅡ ᆨ ᄍ ᅡ ᄋ ᅴ
과제다	ᄀ ᅪ ᄌ ᅦ ᄃ ᅡ
영화의	ᄋ ᅧ ᆼ ᄒ ᅪ ᄋ ᅴ
대세	ᄃ ᅢ ᄉ ᅦ
체영화	ᄎ ᅦ ᄋ ᅧ ᆼ ᄒ ᅪ
개봉해	ᄀ ᅢ ᄇ ᅩ ᆼ ᄒ ᅢ
그래비티의	ᄀ ᅳ ᄅ ᅢ ᄇ ᅵ ᄐ ᅵ ᄋ ᅴ
관객	ᄀ ᅪ ᆫ ᄀ ᅢ ᆨ
극중	ᄀ ᅳ ᆨ ᄍ ᅮ ᆼ
샌드라블록처럼	ᄉ ᅢ ᆫ ᄃ ᅳ ᄅ ᅡ ᄇ ᅳ ᆯ ᄅ ᅩ ᆨ ᄎ ᅥ ᄅ ᅥ ᆷ
조난당한	ᄌ ᅩ ᄂ ᅡ ᆫ ᄃ ᅡ ᆼ ᄒ ᅡ ᆫ
듯	ᄃ ᅳ ᆮ
공유하기	ᄀ ᅩ ᆼ ᄋ ᅲ ᄒ ᅡ ᄀ ᅵ
그래비티	ᄀ ᅳ ᄅ ᅢ ᄇ ᅵ ᄐ ᅵ
쓰리디로	ᄊ ᅳ ᄅ ᅵ ᄃ ᅵ ᄅ ᅩ
관객들은	ᄀ ᅪ ᆫ ᄀ ᅢ ᆨ ᄄ ᅳ ᄅ ᅳ ᆫ
영상이	ᄋ ᅧ ᆼ ᄉ ᅡ ᆼ ᄋ ᅵ
아름답고	ᄋ ᅡ ᄅ ᅳ ᆷ ᄃ ᅡ ᆸ ᄁ ᅩ
생동감	ᄉ ᅢ ᆼ ᄃ ᅩ ᆼ ᄀ ᅡ ᆷ
감상평을	ᄀ ᅡ ᆷ ᄉ ᅡ ᆼ ᄑ ᅧ ᆼ ᄋ ᅳ ᆯ
영화는	ᄋ ᅧ ᆼ ᄒ ᅪ ᄂ ᅳ ᆫ
제맛이라며	ᄌ ᅦ ᄆ ᅡ ᄉ ᅵ ᄅ ᅡ ᄆ ᅧ
쓰리디에	ᄊ ᅳ ᄅ ᅵ ᄃ ᅵ ᄋ ᅦ
관람객의	ᄀ ᅪ ᆯ ᄅ ᅡ ᆷ ᄀ ᅢ ᄀ ᅴ
국내에서는	ᄀ ᅮ ᆼ ᄂ ᅢ ᄋ ᅦ ᄉ ᅥ ᄂ ᅳ ᆫ
쓰리디와	ᄊ ᅳ ᄅ ᅵ ᄃ ᅵ ᄋ ᅪ
아이맥스	ᄋ ᅡ ᄋ ᅵ ᄆ ᅢ ᆨ ᄊ ᅳ
쓰리드가	ᄊ ᅳ ᄅ ᅵ ᄃ ᅳ ᄀ ᅡ
매출액의	ᄆ ᅢ ᄎ ᅮ ᄅ ᅢ ᄀ ᅴ
오십삼	ᄋ ᅩ ᄉ ᅵ ᆸ ᄊ ᅡ ᆷ
쓰리디의	ᄊ ᅳ ᄅ ᅵ ᄃ ᅵ ᄋ ᅴ
물리학자	ᄆ ᅮ ᆯ ᄅ ᅵ ᄒ ᅡ ᆨ ᄍ ᅡ
찰스	ᄎ ᅡ ᆯ ᄉ ᅳ
휘	ᄒ ᅱ
톤이	ᄐ ᅩ ᄂ ᅵ
밝혀냈다	ᄇ ᅡ ᆯ ᄏ ᅧ ᄂ ᅢ ᆮ ᄄ ᅡ
중반부	ᄌ ᅮ ᆼ ᄇ ᅡ ᆫ ᄇ ᅮ
유럽이나	ᄋ ᅲ ᄅ ᅥ ᄇ ᅵ ᄂ ᅡ
미국에선	ᄆ ᅵ ᄀ ᅮ ᄀ ᅦ ᄉ ᅥ ᆫ
인물이나	ᄋ ᅵ ᆫ ᄆ ᅮ ᄅ ᅵ ᄂ ᅡ
풍경사진을	ᄑ ᅮ ᆼ ᄀ ᅧ ᆼ ᄉ ᅡ ᄌ ᅵ ᄂ ᅳ ᆯ
체	ᄎ ᅦ
감상하는	ᄀ ᅡ ᆷ ᄉ ᅡ ᆼ ᄒ ᅡ ᄂ ᅳ ᆫ
필수적인	ᄑ ᅵ ᆯ ᄉ ᅮ ᄌ ᅥ ᄀ ᅵ ᆫ
영화도	ᄋ ᅧ ᆼ ᄒ ᅪ ᄃ ᅩ
입체	ᄋ ᅵ ᆸ ᄎ ᅦ
영화라고도	ᄋ ᅧ ᆼ ᄒ ᅪ ᄅ ᅡ ᄀ ᅩ ᄃ ᅩ
의외로	ᄋ ᅴ ᄋ ᅬ ᄅ ᅩ
역사가	ᄋ ᅧ ᆨ ᄊ ᅡ ᄀ ᅡ
길다	ᄀ ᅵ ᆯ ᄃ ᅡ
파월	ᄑ ᅡ ᄋ ᅯ ᆯ
오브러브가	ᄋ ᅩ ᄇ ᅳ ᄅ ᅥ ᄇ ᅳ ᄀ ᅡ
상영된	ᄉ ᅡ ᆼ ᄋ ᅧ ᆼ ᄃ ᅬ ᆫ
오십에서	ᄋ ᅩ ᄉ ᅵ ᄇ ᅦ ᄉ ᅥ
육십년대	ᄋ ᅲ ᆨ ᄊ ᅵ ᆷ ᄂ ᅧ ᆫ ᄃ ᅢ
제작되던	ᄌ ᅦ ᄌ ᅡ ᆨ ᄄ ᅬ ᄃ ᅥ ᆫ
이천년대	ᄋ ᅵ ᄎ ᅥ ᆫ ᄂ ᅧ ᆫ ᄃ ᅢ
힘으로	ᄒ ᅵ ᄆ ᅳ ᄅ ᅩ
눈처럼	ᄂ ᅮ ᆫ ᄎ ᅥ ᄅ ᅥ ᆷ
간단하다	ᄀ ᅡ ᆫ ᄃ ᅡ ᆫ ᄒ ᅡ ᄃ ᅡ
왼쪽	ᄋ ᅬ ᆫ ᄍ ᅩ ᆨ
눈으로	ᄂ ᅮ ᄂ ᅳ ᄅ ᅩ
카메라로	ᄏ ᅡ ᄆ ᅦ ᄅ ᅡ ᄅ ᅩ
촬영하는	ᄎ ᅪ ᄅ ᅧ ᆼ ᄒ ᅡ ᄂ ᅳ ᆫ
가리고	ᄀ ᅡ ᄅ ᅵ ᄀ ᅩ
한쪽으로만	ᄒ ᅡ ᆫ ᄍ ᅩ ᄀ ᅳ ᄅ ᅩ ᄆ ᅡ ᆫ
사물이	ᄉ ᅡ ᄆ ᅮ ᄅ ᅵ
다르다는	ᄃ ᅡ ᄅ ᅳ ᄃ ᅡ ᄂ ᅳ ᆫ
센치미터	ᄉ ᅦ ᆫ ᄎ ᅵ ᄆ ᅵ ᄐ ᅥ
눈의	ᄂ ᅮ ᄂ ᅴ
신호가	ᄉ ᅵ ᆫ ᄒ ᅩ ᄀ ᅡ
뇌에서	ᄂ ᅬ ᄋ ᅦ ᄉ ᅥ
쳐져	ᄎ ᅥ ᄌ ᅥ
입체감	ᄋ ᅵ ᆸ ᄎ ᅦ ᄀ ᅡ ᆷ
원근감으로	ᄋ ᅯ ᆫ ᄀ ᅳ ᆫ ᄀ ᅡ ᄆ ᅳ ᄅ ᅩ
완성된다	ᄋ ᅪ ᆫ ᄉ ᅥ ᆼ ᄃ ᅬ ᆫ ᄃ ᅡ
사물을	ᄉ ᅡ ᄆ ᅮ ᄅ ᅳ ᆯ
바라볼	ᄇ ᅡ ᄅ ᅡ ᄇ ᅩ ᆯ
원근감과	ᄋ ᅯ ᆫ ᄀ ᅳ ᆫ ᄀ ᅡ ᆷ ᄀ ᅪ
체감을	ᄎ ᅦ ᄀ ᅡ ᄆ ᅳ ᆯ
개이기	ᄀ ᅢ ᄋ ᅵ ᄀ ᅵ
카메라의	ᄏ ᅡ ᄆ ᅦ ᄅ ᅡ ᄋ ᅴ
불과해	ᄇ ᅮ ᆯ ᄀ ᅪ ᄒ ᅢ
입체감을	ᄋ ᅵ ᆸ ᄎ ᅦ ᄀ ᅡ ᄆ ᅳ ᆯ
영상은	ᄋ ᅧ ᆼ ᄉ ᅡ ᆼ ᄋ ᅳ ᆫ
오른쪽	ᄋ ᅩ ᄅ ᅳ ᆫ ᄍ ᅩ ᆨ
차이를	ᄎ ᅡ ᄋ ᅵ ᄅ ᅳ ᆯ
쓰리디를	ᄊ ᅳ ᄅ ᅵ ᄃ ᅵ ᄅ ᅳ ᆯ
렌즈가	ᄅ ᅦ ᆫ ᄌ ᅳ ᄀ ᅡ
왼쪽의	ᄋ ᅬ ᆫ ᄍ ᅩ ᄀ ᅴ
담당하고	ᄃ ᅡ ᆷ ᄃ ᅡ ᆼ ᄒ ᅡ ᄀ ᅩ
반대쪽	ᄇ ᅡ ᆫ ᄃ ᅢ ᄍ ᅩ ᆨ
담당한다	ᄃ ᅡ ᆷ ᄃ ᅡ ᆼ ᄒ ᅡ ᆫ ᄃ ᅡ
오감	ᄋ ᅩ ᄀ ᅡ ᆷ
영화에서	ᄋ ᅧ ᆼ ᄒ ᅪ ᄋ ᅦ ᄉ ᅥ
입체감에	ᄋ ᅵ ᆸ ᄎ ᅦ ᄀ ᅡ ᄆ ᅦ
오감을	ᄋ ᅩ ᄀ ᅡ ᄆ ᅳ ᆯ
오감이란	ᄋ ᅩ ᄀ ᅡ ᄆ ᅵ ᄅ ᅡ ᆫ
영화로는	ᄋ ᅧ ᆼ ᄒ ᅪ ᄅ ᅩ ᄂ ᅳ ᆫ
영화관에서	ᄋ ᅧ ᆼ ᄒ ᅪ ᄀ ᅪ ᄂ ᅦ ᄉ ᅥ
의자의	ᄋ ᅴ ᄌ ᅡ ᄋ ᅴ
흔들림	ᄒ ᅳ ᆫ ᄃ ᅳ ᆯ ᄅ ᅵ ᆷ
바람	ᄇ ᅡ ᄅ ᅡ ᆷ
화면과	ᄒ ᅪ ᄆ ᅧ ᆫ ᄀ ᅪ
표현해	ᄑ ᅭ ᄒ ᅧ ᆫ ᄒ ᅢ
극	ᄀ ᅳ ᆨ
장과	ᄌ ᅡ ᆼ ᄀ ᅪ
테마	ᄐ ᅦ ᄆ ᅡ
파크의	ᄑ ᅡ ᄏ ᅳ ᄋ ᅴ
구분이	ᄀ ᅮ ᄇ ᅮ ᄂ ᅵ
마찰력을	ᄆ ᅡ ᄎ ᅡ ᆯ ᄅ ᅧ ᄀ ᅳ ᆯ
줄여라	ᄌ ᅮ ᄅ ᅧ ᄅ ᅡ
바퀴는	ᄇ ᅡ ᄏ ᅱ ᄂ ᅳ ᆫ
사용되고	ᄉ ᅡ ᄋ ᅭ ᆼ ᄃ ᅬ ᄀ ᅩ
자전거	ᄌ ᅡ ᄌ ᅥ ᆫ ᄀ ᅥ
의자에	ᄋ ᅴ ᄌ ᅡ ᄋ ᅦ
피아노	ᄑ ᅵ ᄋ ᅡ ᄂ ᅩ
바퀴가	ᄇ ᅡ ᄏ ᅱ ᄀ ᅡ
겪겠	ᄀ ᅧ ᆨ ᄁ ᅦ ᆮ
동물의	ᄃ ᅩ ᆼ ᄆ ᅮ ᄅ ᅴ
타거나	ᄐ ᅡ ᄀ ᅥ ᄂ ᅡ
말이나	ᄆ ᅡ ᄅ ᅵ ᄂ ᅡ
소가	ᄉ ᅩ ᄀ ᅡ
널빤지	ᄂ ᅥ ᆯ ᄈ ᅡ ᆫ ᄌ ᅵ
썰매를	ᄊ ᅥ ᆯ ᄆ ᅢ ᄅ ᅳ ᆯ
타야	ᄐ ᅡ ᄋ ᅣ
몰라요	ᄆ ᅩ ᆯ ᄅ ᅡ ᄋ ᅭ
학자들이	ᄒ ᅡ ᆨ ᄍ ᅡ ᄃ ᅳ ᄅ ᅵ
발굴한	ᄇ ᅡ ᆯ ᄀ ᅮ ᆯ ᄒ ᅡ ᆫ
바퀴를	ᄇ ᅡ ᄏ ᅱ ᄅ ᅳ ᆯ
사천년	ᄉ ᅡ ᄎ ᅥ ᆫ ᄂ ᅧ ᆫ
경	ᄀ ᅧ ᆼ
메소포	ᄆ ᅦ ᄉ ᅩ ᄑ ᅩ
타미아	ᄐ ᅡ ᄆ ᅵ ᄋ ᅡ
중앙유럽	ᄌ ᅮ ᆼ ᄋ ᅡ ᆼ ᄋ ᅲ ᄅ ᅥ ᆸ
문명에서	ᄆ ᅮ ᆫ ᄆ ᅧ ᆼ ᄋ ᅦ ᄉ ᅥ
발견될	ᄇ ᅡ ᆯ ᄀ ᅧ ᆫ ᄃ ᅬ ᆯ
오래됐어요	ᄋ ᅩ ᄅ ᅢ ᄃ ᅫ ᄊ ᅥ ᄋ ᅭ
썰매로	ᄊ ᅥ ᆯ ᄆ ᅢ ᄅ ᅩ
짐	ᄌ ᅵ ᆷ
옮기다	ᄋ ᅩ ᆷ ᄀ ᅵ ᄃ ᅡ
퀴가	ᄏ ᅱ ᄀ ᅡ
등장하기	ᄃ ᅳ ᆼ ᄌ ᅡ ᆼ ᄒ ᅡ ᄀ ᅵ
운반하기	ᄋ ᅮ ᆫ ᄇ ᅡ ᆫ ᄒ ᅡ ᄀ ᅵ
썰매가	ᄊ ᅥ ᆯ ᄆ ᅢ ᄀ ᅡ
쓰였어요	ᄊ ᅳ ᄋ ᅧ ᄊ ᅥ ᄋ ᅭ
나무토막을	ᄂ ᅡ ᄆ ᅮ ᄐ ᅩ ᄆ ᅡ ᄀ ᅳ ᆯ
엮	ᄋ ᅧ ᆨ
끈을	ᄁ ᅳ ᄂ ᅳ ᆯ
매달아	ᄆ ᅢ ᄃ ᅡ ᄅ ᅡ
운반하는	ᄋ ᅮ ᆫ ᄇ ᅡ ᆫ ᄒ ᅡ ᄂ ᅳ ᆫ
칠천년	ᄎ ᅵ ᆯ ᄎ ᅥ ᆫ ᄂ ᅧ ᆫ
경부	ᄀ ᅧ ᆼ ᄇ ᅮ
나귀	ᄂ ᅡ ᄀ ᅱ
키우면서	ᄏ ᅵ ᄋ ᅮ ᄆ ᅧ ᆫ ᄉ ᅥ
축이	ᄎ ᅮ ᄀ ᅵ
이용되기	ᄋ ᅵ ᄋ ᅭ ᆼ ᄃ ᅬ ᄀ ᅵ
널빤지와	ᄂ ᅥ ᆯ ᄈ ᅡ ᆫ ᄌ ᅵ ᄋ ᅪ
커서	ᄏ ᅥ ᄉ ᅥ
비라도	ᄇ ᅵ ᄅ ᅡ ᄃ ᅩ
날에는	ᄂ ᅡ ᄅ ᅦ ᄂ ᅳ ᆫ
널빤지를	ᄂ ᅥ ᆯ ᄈ ᅡ ᆫ ᄌ ᅵ ᄅ ᅳ ᆯ
이동시키기	ᄋ ᅵ ᄃ ᅩ ᆼ ᄉ ᅵ ᄏ ᅵ ᄀ ᅵ
힘들었	ᄒ ᅵ ᆷ ᄃ ᅳ ᄅ ᅥ ᆮ
굴림대로	ᄀ ᅮ ᆯ ᄅ ᅵ ᆷ ᄃ ᅢ ᄅ ᅩ
쌓은	ᄊ ᅡ ᄋ ᅳ ᆫ
움직이게	ᄋ ᅮ ᆷ ᄌ ᅵ ᄀ ᅵ ᄀ ᅦ
없을까	ᄋ ᅥ ᆸ ᄊ ᅳ ᆯ ᄁ ᅡ
지혜는	ᄌ ᅵ ᄒ ᅨ ᄂ ᅳ ᆫ
썰매	ᄊ ᅥ ᆯ ᄆ ᅢ
굴림대를	ᄀ ᅮ ᆯ ᄅ ᅵ ᆷ ᄃ ᅢ ᄅ ᅳ ᆯ
굴리는	ᄀ ᅮ ᆯ ᄅ ᅵ ᄂ ᅳ ᆫ
효과적으로	ᄒ ᅭ ᄀ ᅪ ᄌ ᅥ ᄀ ᅳ ᄅ ᅩ
트입니다	ᄐ ᅳ ᄋ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
상징이라	ᄉ ᅡ ᆼ ᄌ ᅵ ᆼ ᄋ ᅵ ᄅ ᅡ
피라미드는	ᄑ ᅵ ᄅ ᅡ ᄆ ᅵ ᄃ ᅳ ᄂ ᅳ ᆫ
무거운	ᄆ ᅮ ᄀ ᅥ ᄋ ᅮ ᆫ
대리석	ᄃ ᅢ ᄅ ᅵ ᄉ ᅥ ᆨ
옮겨서	ᄋ ᅩ ᆷ ᄀ ᅧ ᄉ ᅥ
이용하던	ᄋ ᅵ ᄋ ᅭ ᆼ ᄒ ᅡ ᄃ ᅥ ᆫ
굴림대보다	ᄀ ᅮ ᆯ ᄅ ᅵ ᆷ ᄃ ᅢ ᄇ ᅩ ᄃ ᅡ
퀴	ᄏ ᅱ
효율적이라는	ᄒ ᅭ ᄋ ᅲ ᆯ ᄌ ᅥ ᄀ ᅵ ᄅ ᅡ ᄂ ᅳ ᆫ
바퀴	ᄇ ᅡ ᄏ ᅱ
메소포타미아	ᄆ ᅦ ᄉ ᅩ ᄑ ᅩ ᄐ ᅡ ᄆ ᅵ ᄋ ᅡ
우르	ᄋ ᅮ ᄅ ᅳ
왕조	ᄋ ᅪ ᆼ ᄌ ᅩ
이동도구인	ᄋ ᅵ ᄃ ᅩ ᆼ ᄃ ᅩ ᄀ ᅮ ᄋ ᅵ ᆫ
수레가	ᄉ ᅮ ᄅ ᅦ ᄀ ᅡ
만들어집니다	ᄆ ᅡ ᆫ ᄃ ᅳ ᄅ ᅥ ᄌ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
썰매나	ᄊ ᅥ ᆯ ᄆ ᅢ ᄂ ᅡ
나르기	ᄂ ᅡ ᄅ ᅳ ᄀ ᅵ
쉬워졌습니다	ᄉ ᅱ ᄋ ᅯ ᄌ ᅥ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
땅과	ᄄ ᅡ ᆼ ᄀ ᅪ
면적을	ᄆ ᅧ ᆫ ᄌ ᅥ ᄀ ᅳ ᆯ
최소화시	ᄎ ᅬ ᄉ ᅩ ᄒ ᅪ ᄉ ᅵ
마찰력	ᄆ ᅡ ᄎ ᅡ ᆯ ᄅ ᅧ ᆨ
면과	ᄆ ᅧ ᆫ ᄀ ᅪ
마찰력이	ᄆ ᅡ ᄎ ᅡ ᆯ ᄅ ᅧ ᄀ ᅵ
생깁니다	ᄉ ᅢ ᆼ ᄀ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
마찰력은	ᄆ ᅡ ᄎ ᅡ ᆯ ᄅ ᅧ ᄀ ᅳ ᆫ
물체의	ᄆ ᅮ ᆯ ᄎ ᅦ ᄋ ᅴ
힘이에요	ᄒ ᅵ ᄆ ᅵ ᄋ ᅦ ᄋ ᅭ
칠고	ᄎ ᅵ ᆯ ᄀ ᅩ
넓을수록	ᄂ ᅥ ᆯ ᄇ ᅳ ᆯ ᄊ ᅮ ᄅ ᅩ ᆨ
무거울수록	ᄆ ᅮ ᄀ ᅥ ᄋ ᅮ ᆯ ᄊ ᅮ ᄅ ᅩ ᆨ
커집니다	ᄏ ᅥ ᄌ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
적어지고	ᄌ ᅥ ᄀ ᅥ ᄌ ᅵ ᄀ ᅩ
실은	ᄉ ᅵ ᄅ ᅳ ᆫ
수레도	ᄉ ᅮ ᄅ ᅦ ᄃ ᅩ
굴러갑니다	ᄀ ᅮ ᆯ ᄅ ᅥ ᄀ ᅡ ᆷ ᄂ ᅵ ᄃ ᅡ
과정은	ᄀ ᅪ ᄌ ᅥ ᆼ ᄋ ᅳ ᆫ
최소로	ᄎ ᅬ ᄉ ᅩ ᄅ ᅩ
작아집니다	ᄌ ᅡ ᄀ ᅡ ᄌ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
찾던	ᄎ ᅡ ᆮ ᄄ ᅥ ᆫ
결과물입니다	ᄀ ᅧ ᆯ ᄀ ᅪ ᄆ ᅮ ᄅ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
멀리서도	ᄆ ᅥ ᆯ ᄅ ᅵ ᄉ ᅥ ᄃ ᅩ
맘대로	ᄆ ᅡ ᆷ ᄃ ᅢ ᄅ ᅩ
홈	ᄒ ᅩ ᆷ
아침이	ᄋ ᅡ ᄎ ᅵ ᄆ ᅵ
집안에서	ᄌ ᅵ ᄇ ᅡ ᄂ ᅦ ᄉ ᅥ
깨우는	ᄁ ᅢ ᄋ ᅮ ᄂ ᅳ ᆫ
음악이	ᄋ ᅳ ᄆ ᅡ ᄀ ᅵ
거실로	ᄀ ᅥ ᄉ ᅵ ᆯ ᄅ ᅩ
나오니	ᄂ ᅡ ᄋ ᅩ ᄂ ᅵ
티비가	ᄐ ᅵ ᄇ ᅵ ᄀ ᅡ
켜지면서	ᄏ ᅧ ᄌ ᅵ ᄆ ᅧ ᆫ ᄉ ᅥ
띵동	ᄄ ᅵ ᆼ ᄃ ᅩ ᆼ
주방에	ᄌ ᅮ ᄇ ᅡ ᆼ ᄋ ᅦ
가보니	ᄀ ᅡ ᄇ ᅩ ᄂ ᅵ
토스트가	ᄐ ᅩ ᄉ ᅳ ᄐ ᅳ ᄀ ᅡ
대지	ᄃ ᅢ ᄌ ᅵ
기기를	ᄀ ᅵ ᄀ ᅵ ᄅ ᅳ ᆯ
조정이	ᄌ ᅩ ᄌ ᅥ ᆼ ᄋ ᅵ
홈에서의	ᄒ ᅩ ᄆ ᅦ ᄉ ᅥ ᄋ ᅴ
모습이에요	ᄆ ᅩ ᄉ ᅳ ᄇ ᅵ ᄋ ᅦ ᄋ ᅭ
홈입니다	ᄒ ᅩ ᄆ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
보급으로	ᄇ ᅩ ᄀ ᅳ ᄇ ᅳ ᄅ ᅩ
시장조사	ᄉ ᅵ ᄌ ᅡ ᆼ ᄌ ᅩ ᄉ ᅡ
체인	ᄎ ᅦ ᄋ ᅵ ᆫ
베르그인	ᄇ ᅦ ᄅ ᅳ ᄀ ᅳ ᄋ ᅵ ᆫ
사이트는	ᄉ ᅡ ᄋ ᅵ ᄐ ᅳ ᄂ ᅳ ᆫ
올해	ᄋ ᅩ ᆯ ᄒ ᅢ
스마	ᄉ ᅳ ᄆ ᅡ
트홈은	ᄐ ᅳ ᄒ ᅩ ᄆ ᅳ ᆫ
가구로	ᄀ ᅡ ᄀ ᅮ ᄅ ᅩ
지난해보다	ᄌ ᅵ ᄂ ᅡ ᆫ ᄒ ᅢ ᄇ ᅩ ᄃ ᅡ
육십육	ᄋ ᅲ ᆨ ᄊ ᅵ ᄇ ᅲ ᆨ
전망했어요	ᄌ ᅥ ᆫ ᄆ ᅡ ᆼ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
가구의	ᄀ ᅡ ᄀ ᅮ ᄋ ᅴ
홈에서	ᄒ ᅩ ᄆ ᅦ ᄉ ᅥ
내다봤어요	ᄂ ᅢ ᄃ ᅡ ᄇ ᅪ ᄊ ᅥ ᄋ ᅭ
커지자	ᄏ ᅥ ᄌ ᅵ ᄌ ᅡ
뛰어들고	ᄄ ᅱ ᄋ ᅥ ᄃ ᅳ ᆯ ᄀ ᅩ
통신사	ᄐ ᅩ ᆼ ᄉ ᅵ ᆫ ᄉ ᅡ
버라이즌과	ᄇ ᅥ ᄅ ᅡ ᄋ ᅵ ᄌ ᅳ ᆫ ᄀ ᅪ
에이티	ᄋ ᅦ ᄋ ᅵ ᄐ ᅵ
티는	ᄐ ᅵ ᄂ ᅳ ᆫ
조명과	ᄌ ᅩ ᄆ ᅧ ᆼ ᄀ ᅪ
온도를	ᄋ ᅩ ᆫ ᄃ ᅩ ᄅ ᅳ ᆯ
폰으로	ᄑ ᅩ ᄂ ᅳ ᄅ ᅩ
판매하고	ᄑ ᅡ ᆫ ᄆ ᅢ ᄒ ᅡ ᄀ ᅩ
신생기업인	ᄉ ᅵ ᆫ ᄉ ᅢ ᆼ ᄀ ᅵ ᄋ ᅥ ᄇ ᅵ ᆫ
쿼키도	ᄏ ᅯ ᄏ ᅵ ᄃ ᅩ
냉장고에	ᄂ ᅢ ᆼ ᄌ ᅡ ᆼ ᄀ ᅩ ᄋ ᅦ
보관하고	ᄇ ᅩ ᄀ ᅪ ᆫ ᄒ ᅡ ᄀ ᅩ
체크할	ᄎ ᅦ ᄏ ᅳ ᄒ ᅡ ᆯ
에그마인더를	ᄋ ᅦ ᄀ ᅳ ᄆ ᅡ ᄋ ᅵ ᆫ ᄃ ᅥ ᄅ ᅳ ᆯ
